	$\frac{\Delta G^\circ_{MPNN}-\mu}{\sigma}$	$\Delta G^\circ_{MPNN}(\mu=-411.2,\sigma=40.9$	$\Delta G^\circ_{GCM}$
CPD-16810	-3.256775379180908	-544.4985961914062	-421.834453136
CPD-16811	-2.361146926879883	-507.84771728515625	455.599174144
CPD-16814	7.337540149688721	-110.958251953125	199.847354176
CPD-16815	6.4819746017456055	-145.96969604492188	312.68985928
CPD-16836	-4.66074800491333	-601.951904296875	-652.661114
CPD-16852	-2.919694185256958	-530.70458984375	-582.80509184
CPD-16855	-5.547389507293701	-638.2350463867188	-375.63880872
CPD-16871	-0.3180845379829407	-424.2415771484375	262.969437536
CPD-16876	-2.3859028816223145	-508.86077880859375	-368.088797456
CPD-16877	-1.4530339241027832	-470.6859436035156	-154.98830948
CPD-16884	0.04241747409105301	-409.4891052246094	1088.20162312
CPD-16886	-3.3646304607391357	-548.9122314453125	-109.470699
CPD-16887	-3.3698980808258057	-549.1278076171875	-155.75521576
CPD-16888	-3.304964065551758	-546.4705810546875	-159.813641368
CPD-16889	-3.304964065551758	-546.4705810546875	-159.813641368
CPD-16891	-2.4486658573150635	-511.4291687011719	6.8769169584
CPD-16892	2.8130435943603516	-296.109619140625	341.71309576
CPD-16893	0.25163084268569946	-400.92767333984375	527.16676192
CPD-16933	-3.806946039199829	-567.0126953125	-396.58696704
CPD-16934	-3.806946039199829	-567.0126953125	-396.58696704
CPD-16935	0.36932796239852905	-396.1112976074219	29.906564652
CPD-16936	0.04631734639406204	-409.32952880859375	104.339926744
CPD-16938	0.3281329274177551	-397.79705810546875	54.885050928
CPD-16939	-0.16744396090507507	-418.0770568847656	297.01391752
CPD-16942	-0.13246867060661316	-416.6457824707031	-168.716549032
CPD-16943	1.3372383117675781	-356.5024719238281	35.262910992
CPD-16953	-2.147594451904297	-499.1087341308594	340.51718304
CPD-16988	0.6902123093605042	-382.9800720214844	235.103997536
CPD-16989	3.817037343978882	-255.02420043945312	295.05137048
CPD-16991	-0.3243602514266968	-424.4983825683594	260.2592348
CPD-16995	0.5021077394485474	-390.67767333984375	665.95866096
CPD-17	-1.0759773254394531	-455.25604248046875	-53.643193704
CPD-1701	-3.7928543090820312	-566.43603515625	-257.375902328
CPD-17010	-1.5547807216644287	-474.849609375	-101.024085824
CPD-17011	-0.7516744136810303	-441.98492431640625	323.47010264
CPD-17012	-0.6025670170783997	-435.8831481933594	270.70049048
CPD-17095	-2.3432929515838623	-507.1170959472656	211.26062
CPD-17100	-1.0742475986480713	-455.18524169921875	-157.341504048
CPD-17102	-2.0027146339416504	-493.1799621582031	-263.73124352
CPD-17103	-2.8266355991363525	-526.8964233398438	-528.50806864
CPD-17104	-0.18634524941444397	-418.85052490234375	-138.504136072
CPD-17106	-1.8831787109375	-488.288330078125	55.31752172
CPD-17129	-3.81441068649292	-567.318115234375	-540.95756064
CPD-17138	-4.716296672821045	-604.22509765625	-785.14534016
CPD-17141	-4.717601299285889	-604.2785034179688	-784.14113832
CPD-17154	-2.921940326690674	-530.7965087890625	-321.49358104
CPD-17155	-2.0804226398468018	-496.35992431640625	-155.807122464
CPD-17157	-3.743579626083374	-564.4196166992188	-474.08406104
CPD-17171	-2.1916990280151367	-500.91357421875	334.23775216
CPD-17175	-0.6894100308418274	-439.43695068359375	240.599137616
CPD-17176	-4.068459987640381	-577.71435546875	-86.04575912
CPD-17183	-1.5626952648162842	-475.1734924316406	73.908535776
CPD-17184	-1.5626952648162842	-475.1734924316406	73.908535776
CPD-17214	-2.924024820327759	-530.8817749023438	-304.50654104
CPD-173	-0.27404746413230896	-422.4394836425781	143.96713048
CPD-17461	-5.630486011505127	-641.6355590820312	-966.33366936
CPD-17463	-2.0590977668762207	-495.4872741699219	-146.824827584
CPD-17492	-1.1719703674316406	-459.18426513671875	-31.169724712
CPD-17493	0.42130520939826965	-393.9842834472656	127.98964784
CPD-17509	-2.496600389480591	-513.3907470703125	62.65355904
CPD-17510	-1.9454619884490967	-490.8370666503906	-97.871985744
CPD-17511	-1.9298489093780518	-490.1981506347656	-44.40048248
CPD-17512	-2.0876851081848145	-496.6571044921875	-13.764267976
CPD-17526	-0.7544630765914917	-442.0990295410156	214.18866688
CPD-17531	-2.556570053100586	-515.8448486328125	121.155221912
CPD-17534	-2.495954990386963	-513.3643188476562	2.8184453264
CPD-17535	-3.230182409286499	-543.410400390625	-169.400461488
CPD-17536	-2.854011058807373	-528.0167236328125	-155.685594
CPD-17545	-3.9954655170440674	-574.727294921875	-230.319526592
CPD-17548	-1.6872169971466064	-480.2691650390625	263.076518648
CPD-17549	-2.0876851081848145	-496.6571044921875	-13.764267976
CPD-17551	-2.8035807609558105	-525.9530029296875	-166.154857376
CPD-17552	-2.8035807609558105	-525.9530029296875	-166.154857376
CPD-17556	-1.6872169971466064	-480.2691650390625	263.076518648
CPD-17557	-1.6629531383514404	-479.2762451171875	198.089664144
CPD-17559	-1.3918862342834473	-468.18365478515625	54.675838376
CPD-17560	-3.1898000240325928	-541.7578125	-254.317256072
CPD-17561	-1.3693490028381348	-467.2613830566406	54.675838376
CPD-17562	-1.867859125137329	-487.6614074707031	121.620641704
CPD-17563	-0.39138925075531006	-427.2413330078125	494.94715864
CPD-17564	-2.117743730545044	-497.8871765136719	-110.50847744
CPD-17565	-3.068253993988037	-536.783935546875	-354.81893184
CPD-17566	-5.057827472686768	-618.2012329101562	-718.43388688
CPD-17567	-4.990076065063477	-615.4287109375	-707.66029608
CPD-17568	-3.472688674926758	-553.334228515625	-250.667766256
CPD-17569	-2.134521484375	-498.5737609863281	-265.632064008
CPD-17570	-4.919013500213623	-612.5206909179688	-615.26824576
CPD-17571	-4.4136881828308105	-591.841796875	-462.80048248
CPD-17572	-4.982598781585693	-615.1226806640625	-607.5697276
CPD-17575	-1.561790943145752	-475.136474609375	59.831601664
CPD-17655	-1.9619848728179932	-491.5132141113281	-233.526729952
CPD-17656	-2.01686954498291	-493.75921630859375	-86.28232248
CPD-17658	-2.884934186935425	-529.2821044921875	-251.466629928
CPD-17659	-0.7432422041893005	-441.6398620605469	203.57067904
CPD-17670	-4.683804512023926	-602.8954467773438	-849.274596
CPD-17675	1.0838807821273804	-366.870361328125	598.7772608
CPD-17678	1.2914199829101562	-358.37744140625	727.52362688
CPD-17679	1.2914199829101562	-358.37744140625	727.52362688
CPD-17680	1.6199982166290283	-344.931396484375	179.782157928
CPD-17681	4.142933368682861	-241.68788146972656	64.085160664
CPD-17682	6.830175399780273	-131.72064208984375	295.04199832
CPD-17683	0.4253474175930023	-393.81884765625	256.42832256
CPD-17684	-0.5160947442054749	-432.34454345703125	91.243994192
CPD-17685	-0.5793163180351257	-434.9316711425781	178.150402112
CPD-17686	-0.36582982540130615	-426.1954040527344	140.406810072
CPD-17693	0.7134853601455688	-382.0276794433594	400.18198536
CPD-17704	-4.688052177429199	-603.0692749023438	-698.94540064
CPD-17705	-3.793142557144165	-566.4478149414062	-632.55481832
CPD-1771	-3.951129198074341	-572.9129638671875	-165.37370876
CPD-17712	-2.015393018722534	-493.69879150390625	118.481838376
CPD-1772	5.440816402435303	-188.57594299316406	109.975034176
CPD-17722	-0.6323780417442322	-437.10308837890625	176.867370144
CPD-17723	-1.7286808490753174	-481.9659423828125	51.984367408
CPD-17724	-2.6384682655334473	-519.1962890625	-107.174971672
CPD-17725	-0.6565845012664795	-438.0936584472656	86.17747144
CPD-1774	-2.8514151573181152	-527.9104614257812	-263.061021112
CPD-17747	-1.5989525318145752	-476.6572265625	10.1767963368
CPD-17752	-1.5992467403411865	-476.66925048828125	-135.036579128
CPD-17782	-1.6552002429962158	-478.958984375	103.512565848
CPD-17821	-2.0217325687408447	-493.9582214355469	-77.138579592
CPD-17822	-2.0673134326934814	-495.823486328125	-79.314238672
CPD-17880	0.6582762002944946	-384.2869567871094	12.175835388
CPD-1789	-2.82260799407959	-526.7316284179688	-539.58232168
CPD-17902	-2.8216392993927	-526.6919555664062	-327.31862952
CPD-17912	-1.1740620136260986	-459.2698669433594	-31.169724712
CPD-17965	-2.7077789306640625	-522.0325927734375	-66.05021392
CPD-17974	-1.8560445308685303	-487.17791748046875	245.011056832
CPD-17975	-1.3836297988891602	-467.8457946777344	119.75656092
CPD-18012	-2.822770357131958	-526.73828125	-288.32374952
CPD-18013	-2.7776899337768555	-524.8934936523438	-368.74960168
CPD-18014	-1.9320287704467773	-490.287353515625	-121.63321044
CPD-18015	-1.859325885772705	-487.31219482421875	-202.059075152
CPD-18016	-1.388775110244751	-468.05633544921875	-81.8992896
CPD-18017	-1.9901082515716553	-492.6640625	-286.50157568
CPD-18018	-2.8267836570739746	-526.9024658203125	-451.68583292
CPD-18019	-2.283947229385376	-504.68853759765625	-247.08363052
CPD-18063	-5.06253719329834	-618.3939208984375	-444.81447064
CPD-18064	-5.540356159210205	-637.947265625	-725.83923216
CPD-18108	-2.399826765060425	-509.4305725097656	-157.24844352
CPD-18109	-2.060873031616211	-495.5599060058594	-178.623989072
CPD-18110	-2.3855767250061035	-508.8474426269531	-157.24844352
CPD-18111	-2.0916144847869873	-496.81793212890625	-178.623989072
CPD-18112	-2.479766845703125	-512.701904296875	-236.377247312
CPD-18119	-6.393657207489014	-672.8660278320312	-846.24533816
CPD-18120	-1.0243523120880127	-453.1434326171875	98.90545048
CPD-18126	-2.8136367797851562	-526.364501953125	-190.38963556
CPD-18127	-2.837378978729248	-527.3360595703125	-316.66277648
CPD-18128	-2.556272029876709	-515.8326416015625	-420.10062864
CPD-18129	-2.632570743560791	-518.9548950195312	-367.33105832
CPD-18130	-3.4346160888671875	-551.7761840820312	-687.48873
CPD-18131	-2.8300182819366455	-527.0348510742188	-190.38963556
CPD-18132	-2.847743272781372	-527.7601928710938	-316.66277648
CPD-18133	-2.5945231914520264	-517.39794921875	-420.10062864
CPD-18134	-2.61065673828125	-518.0581665039062	-367.33105832
CPD-18135	-3.4496986865997314	-552.3934326171875	-687.48873
CPD-18137	0.3650156855583191	-396.2877502441406	214.6207904
CPD-18138	0.34142976999282837	-397.2529296875	268.3015104
CPD-18139	0.30383047461509705	-398.79156494140625	289.2215104
CPD-18140	0.28728464245796204	-399.4686584472656	289.2215104
CPD-18141	0.2950284481048584	-399.1517639160156	289.2215104
CPD-18142	0.28600138425827026	-399.52117919921875	283.07107224
CPD-18144	0.3433886766433716	-397.1727600097656	346.719025824
CPD-18145	-1.0291588306427002	-453.3401184082031	84.27080172
CPD-18147	-2.0851426124572754	-496.5530700683594	-65.181686648
CPD-18148	-1.7348887920379639	-482.2200012207031	-214.057778808
CPD-18149	-1.0522053241729736	-454.2832336425781	84.187117536
CPD-18151	-2.513822555541992	-514.0955200195312	-309.43382864
CPD-18152	-2.617070198059082	-518.3206176757812	-218.57651136
CPD-18153	-3.28879451751709	-545.8088989257812	-476.12436772
CPD-18154	-3.3660669326782227	-548.9710693359375	-723.14774864
CPD-18155	-4.111330986022949	-579.4686889648438	-833.51773568
CPD-18163	-2.4529178142547607	-511.6031494140625	218.480601528
CPD-18174	-2.0138187408447266	-493.6343688964844	-228.408852784
CPD-1821	0.16999101638793945	-404.2685546875	1046.45342008
CPD-18228	-2.2209675312042236	-502.1112976074219	196.97405912
CPD-1823	-1.652984380722046	-478.8682861328125	283.7267678
CPD-18251	-2.363429546356201	-507.9411315917969	-145.05890344
CPD-18271	-3.6300437450408936	-559.7734985351562	-572.33571968
CPD-18272	-1.7927696704864502	-484.5885925292969	-259.634864848
CPD-18273	-3.6310088634490967	-559.81298828125	-572.33571968
CPD-18274	-1.020066499710083	-452.9680480957031	-94.450549032
CPD-18275	-1.0760247707366943	-455.2579650878906	-94.450549032
CPD-18276	-0.22701680660247803	-420.514892578125	223.09592172
CPD-18277	-0.19339686632156372	-419.13909912109375	223.09592172
CPD-18278	-0.2377394139766693	-420.95367431640625	170.32630956
CPD-18279	-0.24991557002067566	-421.45196533203125	170.32630956
CPD-18280	0.6728983521461487	-383.6885986328125	374.68226264
CPD-18287	-1.1986963748931885	-460.2779541015625	-108.08644352
CPD-18289	-0.21941736340522766	-420.20391845703125	223.09592172
CPD-18290	-0.2334212064743042	-420.7769775390625	170.32630956
CPD-18291	-1.0177335739135742	-452.8725891113281	-94.450549032
CPD-18292	-1.783238172531128	-484.19854736328125	-298.8064268
CPD-18293	-1.8462352752685547	-486.7765197753906	-246.036864848
CPD-18294	-2.5540895462036133	-515.7432861328125	-566.19461184
CPD-183	-2.725431442260742	-522.7549438476562	-503.94798864
CPD-18305	6.005203723907471	-165.4801025390625	-83.41490176
CPD-1831	-0.9206703305244446	-448.90057373046875	-352.49463616
CPD-18312	-3.1657676696777344	-540.7744140625	-83.79577128
CPD-18317	-0.08200183510780334	-414.5805969238281	-253.080047272
CPD-18318	-4.028740406036377	-576.0889282226562	-230.319526592
CPD-18319	-4.028740406036377	-576.0889282226562	-230.319526592
CPD-18320	0.8129607439041138	-377.9569396972656	475.05123448
CPD-18321	-0.025365367531776428	-412.2629089355469	377.98243448
CPD-18323	-0.381752073764801	-426.8469543457031	434.54538656
CPD-184	-3.4976325035095215	-554.35498046875	-860.38110768
CPD-1843	0.9326796531677246	-373.0578308105469	-209.050321584
CPD-18451	-1.1387736797332764	-457.8257751464844	52.793824968
CPD-18461	-3.81333065032959	-567.27392578125	-397.59112704
CPD-18495	-0.007448539137840271	-411.52972412109375	457.11122572
CPD-18497	-0.1626664102077484	-417.88153076171875	230.738077216
CPD-185	-4.4291839599609375	-592.4758911132812	-900.66951312
CPD-18512	-2.936069965362549	-531.3746948242188	-18.3345951056
CPD-18517	-1.1609010696411133	-458.7312927246094	230.29706688
CPD-18526	-0.030099794268608093	-412.4566650390625	309.86691448
CPD-18534	-0.779811680316925	-443.1363525390625	11.9852299208
CPD-18546	-1.7273187637329102	-481.91021728515625	129.151862624
CPD-18547	-0.8103272318840027	-444.3851013183594	99.021824256
CPD-186	-4.418997287750244	-592.0590209960938	-931.67291128
CPD-18635	-2.0043842792510986	-493.248291015625	-241.736721192
CPD-18648	-2.682924509048462	-521.0155029296875	-217.6466592
CPD-18649	-2.5617928504943848	-516.0585327148438	-196.638309856
CPD-18691	-1.1021864414215088	-456.32855224609375	-25.98697044
CPD-18726	-0.130977064371109	-416.5847473144531	346.3983808
CPD-18729	-2.878164768218994	-529.005126953125	42.356506432
CPD-18730	-3.7288994789123535	-563.81884765625	-160.06938
CPD-18732	4.0062479972839355	-247.2813262939453	56.553973216
CPD-18742	-1.9574999809265137	-491.3296813964844	-423.91748264
CPD-18751	6.854770183563232	-130.71417236328125	366.923093216
CPD-18772	-3.703455924987793	-562.7776489257812	-353.28256704
CPD-18773	-2.798307418823242	-525.7371826171875	-333.83638104
CPD-18776	-2.8309199810028076	-527.07177734375	-186.59200704
CPD-18779	-2.8309197425842285	-527.07177734375	-186.59200704
CPD-18780	-3.7421658039093018	-564.3617553710938	-367.59184704
CPD-18781	-3.7421658039093018	-564.3617553710938	-367.59184704
CPD-18785	-3.6864430904388428	-562.0814208984375	-500.52694104
CPD-18795	-2.9026694297790527	-530.0078735351562	-229.31064704
CPD-18883	0.27906280755996704	-399.80511474609375	281.11392256
CPD-18912	0.25152766704559326	-400.9319152832031	1.9899064252
CPD-18914	-4.663179874420166	-602.0514526367188	-362.072925104
CPD-18915	-2.8667147159576416	-528.5365600585938	-102.78652888
CPD-18928	-2.3670644760131836	-508.0898742675781	-305.7378504
CPD-18931	-1.1346094608306885	-457.6553649902344	209.149515856
CPD-18935	-2.0970938205718994	-497.0421447753906	341.84330184
CPD-18938	-0.9957920908927917	-451.9747009277344	53.476549168
CPD-18952	0.9091435670852661	-374.0209655761719	256.8283548
CPD-18953	2.1810872554779053	-321.97052001953125	520.69917656
CPD-18956	1.05415940284729	-368.0866394042969	254.0575008
CPD-18957	2.1172215938568115	-324.5840148925781	161.330705376
CPD-18958	3.304415702819824	-276.001708984375	68.603889032
CPD-18959	4.624395847320557	-221.98548889160156	-24.1229260568
CPD-18972	-3.2107994556427	-542.6171875	-268.64957736
CPD-18973	-3.4232118129730225	-551.3095092773438	-545.4904644
CPD-18974	-2.912506580352783	-530.4104614257812	-475.12022864
CPD-18984	6.900414943695068	-128.84628295898438	335.42697048
CPD-18985	5.806177616119385	-173.62464904785156	428.15378264
CPD-18987	4.425659656524658	-230.1181640625	171.823169032
CPD-18988	0.5989954471588135	-386.71282958984375	572.11149912
CPD-18989	0.5573714375495911	-388.4161682128906	664.83839496
CPD-18993	1.6682286262512207	-342.95770263671875	439.050901856
CPD-18994	0.5298324823379517	-389.5431213378906	531.77773912
CPD-18995	0.44829973578453064	-392.8796081542969	624.5046768
CPD-18996	3.627094030380249	-262.79705810546875	90.067813216
CPD-18998	1.2359557151794434	-360.64715576171875	97.701437536
CPD-19	-2.0820260047912598	-496.425537109375	-235.149055032
CPD-19002	2.0274758338928223	-328.256591796875	-239.33852352
CPD-19003	6.3072028160095215	-153.1217041015625	105.622921056
CPD-19009	5.739016532897949	-176.3730010986328	423.08177048
CPD-19010	4.152958393096924	-241.27764892578125	263.67137048
CPD-19011	2.6721699237823486	-301.87445068359375	387.3273148
CPD-19012	4.080569744110107	-244.23992919921875	240.082953352
CPD-19013	2.4138967990875244	-312.4434814453125	88.496633352
CPD-19014	0.5663597583770752	-388.04833984375	-222.56461648
CPD-19022	5.03617000579834	-205.13487243652344	211.222411712
CPD-19028	2.475212574005127	-309.934326171875	361.242267216
CPD-19034	6.05001163482666	-163.64646911621094	-371.5392
CPD-19035	0.6474906802177429	-384.7283020019531	416.680267216
CPD-19036	1.8406753540039062	-335.9008483886719	461.4259548
CPD-19037	2.329469919204712	-315.8984069824219	42.212221192
CPD-19039	1.4690706729888916	-351.1076354980469	770.40071496
CPD-19042	1.006434440612793	-370.03961181640625	42.258784928
CPD-19043	0.7641569375991821	-379.9541015625	235.74097388
CPD-19044	0.9478915929794312	-372.435302734375	232.970165904
CPD-19045	6.631475925445557	-139.851806640625	435.75929048
CPD-19046	6.631475925445557	-139.851806640625	435.75929048
CPD-19056	5.8167643547058105	-173.19140625	420.5807008
CPD-19059	2.8472647666931152	-294.7091979980469	332.8097948
CPD-19060	1.124112844467163	-365.2239990234375	181.223458064
CPD-19062	3.596827507019043	-264.0356140136719	258.441357928
CPD-19063	5.187828540802002	-198.9287109375	432.99785048
CPD-19064	4.211322784423828	-238.88925170898438	260.86809048
CPD-19065	1.9844229221343994	-330.0184020996094	-202.26830444
CPD-19080	4.060085296630859	-245.07818603515625	253.597285904
